regio2,median rent
Aachen,702
Aachen Städte,750
Ahrweiler,760
Aichach-Friedberg,998
Alb-Donau,895
Altenburger Land,430
Altenkirchen,586
Altmarkkreis Salzwedel,434
Altötting,820
Alzey-Worms,853
Amberg Städte,666
Amberg-Sulzbach,620
Ammerland,770
Anhalt-Zerbst,464
Annaberg,430
Ansbach,780
Ansbach Städte,651
Aschaffenburg,990
Aschaffenburg Städte,970
Aschersleben-Staßfurt,436
Aue-Schwarzenberg,430
Augsburg,1015
Augsburg Städte,910
Aurich,590
Bad Doberan,470
Bad Dürkheim,850
Bad Kissingen,700
Bad Kreuznach,850
Bad Tölz-Wolfratshausen,1180
Baden-Baden Städte,1170
Bamberg,840
Bamberg Städte,935
Barnim,565
Bautzen,448
Bayreuth,665
Bayreuth Städte,615
Berchtesgadener Land,900
Bergstraße,951
Berlin,1124
Bernburg,436
Bernkastel-Wittlich,665
Biberach,943
Bielefeld Städte,742
Birkenfeld,545
Bitburg-Prüm,770
Böblingen,1250
Böblingen,700
Bochum Städte,603
Bodensee,1150
Bonn Städte,1000
Bördekreis,452
Borken,734
Bottrop Städte,579
Brandenburg an der Havel Städte,453
Braunschweig Städte,765
Breisgau-Hochschwarzwald,1225
Bremen Städte,765
Bremerhaven Städte,520
Burgenlandkreis,436
Calw,700
Celle,650
Cham,670
Chemnitz Städte,420
Chemnitzer Land,427
Cleves,675
Cloppenburg,640
Coburg,565
Coburg Städte,760
Cochem-Zell,630
Coesfeld,750
Cologne Städte,1000
Cottbus Städte,490
Cuxhaven,713
Dachau,1190
Dahme-Spreewald,950
Darmstadt Städte,1165
Darmstadt-Dieburg,950
Deggendorf,710
Delitzsch,458
Delmenhorst Städte,612
Demmin,470
Dessau Städte,438
Diepholz,749
Dillingen,870
Dingolfing-Landau,695
Dithmarschen,570
Döbeln,410
Donau-Ries,890
Donnersbergkreis,673
Dortmund Städte,653
Dresden Städte,620
Duisburg Städte,551
Düren,668
Düsseldorf Städte,1065
Ebersberg,1242
Eichsfeld,551
Eichstätt,984
Eisenach,496
Elbe-Elster,461
Emden Städte,575
Emmendingen,1200
Emsland,650
Ennepe-Ruhr,590
Enz,883
Enzkreis,883
Erding,1050
Erfurt Städte,580
Erlangen Städte,912
Erlangen-Höchstadt,910
Erzgebirgskreis,430
Essen Städte,616
Esslingen,1000
Euskirchen,710
Flensburg Städte,700
Forchheim,975
Frankenthal Städte,785
Frankfurt am Main Städte,1400
Frankfurt am Oder Städte,515
Freiberg,410
Freiburg,1550
Freising,1112
Freudenstadt,750
Freyung-Grafenau,593
Friesland,680
Fulda,820
Fürstenfeldbruck,1225
Fürth,908
Fürth Städte,868
Garmisch-Partenkirchen,1145
Gelsenkirchen Städte,504
Gera Städte,429
Germersheim,850
Gießen,750
Gifhorn,785
Göppingen,899
Göppingen,834
Görlitz Städte,415
Goslar,495
Gotha,500
Göttingen,696
Grafschaft Bentheim,660
Greifswald,538
Greifswald Städte,538
Greiz,411
Groß-Gerau,950
Günzburg,860
Gütersloh,850
Hagen Städte,506
Halberstadt,438
Halle Städte,472
Hamburg Städte,1233
Hamelin-Pyrmont,560
Hamm Städte,554
Hanover,828
Harburg,945
Haßberge,660
Havelland,625
Heidekreis,630
Heidelberg Städte,1300
Heidenheim,750
Heilbronn,1050
Heilbronn city Städte,1035
Heinsberg,700
Helmstedt,540
Herford,594
Herne Städte,531
Hersfeld-Rotenburg,650
Hildburghausen,479
Hildesheim,625
Hochsauerlandkreis,570
Hochtaunuskreis,1200
Hof,550
Hof Städte,550
Hohenlohe,890
Holzminden,440
Höxter,555
Ilm-Kreis,550
Ingolstadt Städte,985
Jena Städte,628
Jerichower Land,473
Kaiserslautern,695
Kaiserslautern Städte,550
Kamenz,448
Karlsruhe,983
Karlsruhe Städte,1000
Kassel,688
Kassel Städte,660
Kaufbeuren Städte,740
Kelheim,875
Kempten Städte,995
Kiel Städte,684
Kitzingen,805
Koblenz Coblenz Städte,840
Konstanz,1100
Köthen,464
Krefeld Städte,640
Kronach,590
Kulmbach,625
Kusel,600
Kyffhäuserkreis,411
Lahn-Dill-Kreis,803
Landau Städte,795
Landsberg,1125
Landshut,940
Landshut Städte,1054
Lauenburg,738
Leer,615
Leipzig Städte,620
Leipziger Land,445
Leverkusen Städte,762
Lichtenfels,510
Limburg-Weilburg,750
Lindau,1225
Lippe,620
Löbau-Zittau,415
Lörrach,1055
Lübeck Städte,700
Lüchow-Dannenberg,420
Ludwigsburg,1135
Ludwigshafen Städte,825
Ludwigslust,499
Lüneburg,860
Magdeburg Städte,509
Main-Kinzig-Kreis,890
Main-Spessart,775
Main-Tauber,700
Main-Taunus-Kreis Städte,1110
Mainz Städte,975
Mainz-Bingen,900
Mannheim Städte,970
Mansfelder Land,450
Mansfeld-Südharz,450
Marburg-Biedenkopf,710
Märkischer Kreis,555
Märkisch-Oderland,603
Mayen-Koblenz,690
Mecklenburg-Strelitz,470
Meißen,445
Memmingen Städte,998
Merseburg-Querfurt,440
Merzig-Wadern,675
Mettmann,748
Miesbach,1300
Miltenberg,765
Minden-Lübbecke,590
Mittlerer Erzgebirgskreis,430
Mittweida,410
Mönchengladbach Städte,682
Mühldorf,920
Muldentalkreis,445
Mülheim Städte,690
München,1468
Munich Städte,1700
Münster Städte,1035
Müritz,470
Neckar-Odenwald-Kreis,615
Neubrandenburg Städte,470
Neuburg-Schrobenhausen,940
Neumarkt,920
Neumünster Städte,610
Neunkirchen,633
Neustadt,600
Neustadt Städte,900
Neustadt-Bad Windsheim,864
Neu-Ulm,1050
Neuwied,720
Niederschlesischer Oberlausitzkreis,415
Nienburg,641
Nordfriesland,745
Nordhausen,438
Nordvorpommern,470
Nordwestmecklenburg,470
Northeim,510
Nuremberg Städte,857
Nürnberger Land,930
Oberallgäu,1126
Oberbergischer Kreis,650
Oberhausen Städte,550
Oberhavel,817
Oberspreewald-Lausitz,435
Odenwaldkreis,750
Oder-Spree,645
Offenbach,1040
Offenbach am Main Städte,1100
Ohrekreis,473
Oldenburg,790
Oldenburg Städte,825
Olpe,780
Ortenaukreis,961
Osnabrück,720
Osnabrück Städte,770
Ostalbkreis,834
Ostallgäu,900
Osterholz,740
Osterode,696
Ostholstein,723
Ostprignitz-Ruppin,536
Ostvorpommern,470
Paderborn,710
Parchim,499
Passau,693
Passau Städte,770
Peine,795
Pfaffenhofen,950
Pforzheim Städte,775
Pinneberg,896
Pirmasens Städte,470
Plauen Städte,410
Plön,720
Potsdam Städte,1026
Potsdam-Mittelmark,840
Prignitz,430
Quedlinburg,438
Rastatt,980
Ravensburg,978
Recklinghausen,575
Regen,600
Regensburg,930
Regensburg Städte,920
Remscheid Städte,554
Rems-Murr-Kreis,1111
Rendsburg-Eckernförde,705
Reutlingen,960
Rhein-Erft-Kreis,875
Rheingau-Taunus-Kreis,890
Rhein-Hunsrück,660
Rheinisch-Bergischer Kreis,910
Rhein-Kreis Neuss,682
Rhein-Lahn,650
Rhein-Neckar-Kreis,950
Rhein-Pfalz-Kreis,980
Rhein-Sieg,869
Rhön-Grabfeld,596
Riesa-Großenhain,445
Rosenheim,1080
Rosenheim Städte,1120
Rostock Städte,588
Rotenburg,700
Roth,865
Rottal-Inn,650
Rottweil,710
Rügen,517
Saale-Holzland,425
Saale-Orla,466
Saalfeld-Rudolstadt,436
Saalkreis,472
Saarbrücken Städte,750
Saarlouis,750
Saarpfalz,720
Sächsische Schweiz,476
Salzgitter Städte,490
Salzlandkreis,436
Sangerhausen,450
Sankt Wendel,700
Schaumburg,600
Schleswig-Flensburg,694
Schmalkalden-Meiningen,485
Schönebeck,436
Schwabach Städte,803
Schwäbisch Hall,870
Schwalm-Eder-Kreis,620
Schwandorf,761
Schwarzwald-Baar-Kreis,750
Schweinfurt,675
Schweinfurt Städte,860
Schwerin Städte,506
Segeberg,910
Siegen-Wittgenstein,667
Sigmaringen,773
Soest,625
Solingen Städte,710
Soltau-Fallingbostel,630
Sömmerda,546
Sonneberg,510
Speyer Spires Städte,1200
Spree-Neiße,474
Stade,810
Stadtverband-Saarbrücken,650
Starnberg,1500
Steinburg,590
Steinfurt,730
Stendal,455
Stollberg,430
Stormarn,935
Stralsund Städte,517
Straubing Städte,853
Straubing-Bogen,810
Stuttgart Städte,1400
Südliche Weinstraße,812
Südwestpfalz,593
Suhl Städte,488
Teltow-Fläming,639
Tirschenreuth,465
Torgau-Oschatz,458
Traunstein,1045
Trier Städte,850
Trier-Saarburg,755
Tübingen,1058
Tuttlingen,1000
Uckermark,455
Uecker-Randow,538
Uelzen,622
Ulm Städte,1090
Unna,619
Unstrut-Hainich,480
Unterallgäu,947
Vechta,700
Verden,840
Viersen,654
Vogelsbergkreis,574
Vogtlandkreis,410
Vulkaneifel,620
Waldeck-Frankenberg,646
Waldshut,1010
Warendorf,700
Wartburgkreis,450
Weiden Städte,700
Weilheim-Schongau,1100
Weimar Städte,673
Weimarer Land,480
Weißenburg-Gunzenhausen,725
Werra-Meißner-Kreis,540
Wesel,670
Wesermarsch,502
Westerwaldkreis,800
Wetteraukreis,940
Wiesbaden Städte,1110
Wilhelmshaven Städte,520
Wittenberg,410
Wittmund,627
Wolfenbüttel,720
Wolfsburg Städte,850
Worms Städte,850
Wunsiedel,485
Wuppertal Städte,585
Würzburg,850
Würzburg Städte,890
Zollernalbkreis,800
Zweibrücken Städte,550
Zwickau Städte,427
Zwickauer Land,427
Weißenfels,436
Güstrow,588
Bitterfeld,464
Weißeritzkreis,476
Wernigerode,438
